Fuel,,Gasoline-US Mix,Diesel-US Mix,Biodiesel (BD100-Soybean),Ethanol (E100-Corn),Ethanol (E100-Switchgrass),Ethanol (E100-Corn Stover),Renewable Diesel
Feedstock,,US Mix,US Mix,Soybean,Corn,Switchgrass,Corn Stover,Soybean
GHG,WTP,17.51142619,15.76066402,-44.60388325,-15.71356609,-56.59681912,-60.92527495,-39.71558084
[gCO₂e/MJ],PTW,73.03186355,75.65700828,75.90263933,71.36128646,71.36128646,71.36128646,73.32753688
,WTW,90.54328974,91.4176723,31.29875608,55.64772037,14.76446735,10.43601151,33.61195604
VOC: Total,WTP,0.027981379,0.007109986,0.019279655,0.057151921,0.038995017,0.038769506,0.019369239
[g/MJ],PTW,0.050800604,0.039571696,0.03824693,0.048641608,0.048641608,0.048641608,0.03824693
,WTW,0.078781983,0.046681682,0.057526585,0.105793529,0.087636625,0.087411114,0.057616169
CO: Total,WTP,0.015449439,0.011776301,0.014571847,0.040777414,0.159669772,0.163829649,0.016330557
[g/MJ],PTW,0.605753857,0.941941351,0.941941351,0.648156627,0.648156627,0.648156627,0.941941351
,WTW,0.621203296,0.953717652,0.956513198,0.688934042,0.8078264,0.811986276,0.958271908
NOx: Total,WTP,0.025190231,0.018081282,0.02052365,0.08577218,0.234991969,0.225505095,0.022691665
[g/MJ],PTW,0.018206367,0.025958454,0.025958454,0.019480813,0.019480813,0.019480813,0.025958454
,WTW,0.043396599,0.044039737,0.046482104,0.105252993,0.254472782,0.244985908,0.04865012
PM10: Total,WTP,0.002756663,0.001290056,0.00157825,0.015512359,0.014317149,0.014953524,0.001683378
[g/MJ],PTW,0.00762438,0.008965184,0.008965184,0.008158087,0.008158087,0.008158087,0.008965184
,WTW,0.010381043,0.01025524,0.010543433,0.023670446,0.022475236,0.023111611,0.010648562
PM2.5: Total,WTP,0.001849714,0.001084394,0.001238093,0.005786858,0.005101862,0.005732434,0.001321165
[g/MJ],PTW,0.001638444,0.001793526,0.001793526,0.001753135,0.001753135,0.001753135,0.001793526
,WTW,0.003488157,0.00287792,0.003031619,0.007539992,0.006854997,0.007485568,0.003114691
SOx: Total,WTP,0.00724414,0.004943649,0.009582806,0.0241386,0.198856875,0.186889836,0.009931731
[g/MJ],PTW,0.000432098,0.000516276,0,3.71031E-05,3.71031E-05,3.71031E-05,0
,WTW,0.007676238,0.005459924,0.009582806,0.024175703,0.198893978,0.18692694,0.009931731
BC Total,WTP,0.00024385,0.000164019,0.000316106,0.00066292,0.000587644,0.001180083,0.00032642
[g/MJ],PTW,0.000577187,0.000639923,0.000639923,0.000617591,0.000617591,0.000617591,0.000639923
,WTW,0.000821037,0.000803941,0.000956028,0.001280511,0.001205235,0.001797673,0.000966343
OC Total,WTP,0.000401543,0.000294918,0.00029451,0.000974379,0.000747677,0.000926344,0.000322628
[g/MJ],PTW,0.000393068,0.000265844,0.000265844,0.000420583,0.000420583,0.000420583,0.000265844
,WTW,0.000794611,0.000560762,0.000560354,0.001394962,0.00116826,0.001346927,0.000588472
Total Energy,WTP,0.276716025,0.186111698,0.490749348,0.88783074,2.286327061,2.077391331,0.51862081
[MJ/MJ],PTW,1,1,1,1,1,1,1
,WTW,1.276716025,1.186111698,1.490749348,1.88783074,3.286327061,3.077391331,1.51862081
Fossil Energy,WTP,0.248473992,0.180172455,0.225480589,0.557626662,0.101895362,0.130832406,0.260387695
[MJ/MJ],PTW,0.933326452,1,0,0,0,0,0
,WTW,1.181800444,1.180172455,0.225480589,0.557626662,0.101895362,0.130832406,0.260387695
Coal,WTP,0.013223566,0.009788809,0.023243629,0.043985443,-0.036719783,-0.035322204,0.025560603
[MJ/MJ],PTW,0,0,0,0,0,0,0
,WTW,0.013223566,0.009788809,0.023243629,0.043985443,-0.036719783,-0.035322204,0.025560603
NG,WTP,0.16290322,0.124002057,0.166999924,0.456405499,0.075500786,0.069839181,0.198314296
[MJ/MJ],PTW,0,0,0,0,0,0,0
,WTW,0.16290322,0.124002057,0.166999924,0.456405499,0.075500786,0.069839181,0.198314296
Petroleum,WTP,0.072347206,0.046381588,0.035237035,0.05723572,0.063114359,0.09631543,0.036512796
[MJ/MJ],PTW,0.933326452,1,0,0,0,0,0
,WTW,1.005673658,1.046381588,0.035237035,0.05723572,0.063114359,0.09631543,0.036512796
Water consumption,WTP,0.050138367,0.02197824,0.592739933,0.390325349,0.15800578,0.158719222,0.602046807
[gal/MJ],PTW,0,0,0,0,0,0,0
,WTW,0.050138367,0.02197824,0.592739933,0.390325349,0.15800578,0.158719222,0.602046807
